542	corpus-6-dev	CAI	محتاج علبة الوان ميه، من فضلك.	محتاج علبة الوان مية، من فضلك.
561	corpus-6-dev	CAI	في الحالة ديه، انا بأنصح بده .	في الحالة دية، انا بانصح بده.
610	corpus-6-dev	CAI	ممكن تحافظ على حاجتي القيمة، من فضلك؟	ممكن تحافظ على حاجتي القيمة، من فضلك؟
691	corpus-6-dev	CAI	ببصه عليك، باين عليك لقطت نوع من العدوى .	ببصة عليك، باين عليك لقطت نوع من العدوى.
698	corpus-6-dev	CAI	ممكن اخد كرسيين دور تاني علوي علشان حفلة الليله؟	ممكن آخذ كرسيين دور ثاني علوي علشان حفلة الليلة؟
702	corpus-6-dev	CAI	امتى بيفتح مكتب البريد؟	امتى بيفتح مكتب البريد؟
752	corpus-6-dev	CAI	اشكرك . ادي مفتاحك . الحمال حياخد شنطك .	اشكرك. ادي مفتاحك. الحمال حياخذ شنطك.
755	corpus-6-dev	CAI	سيب شنطي، من فضلك .	سيب شنطي، من فضلك.
785	corpus-6-dev	CAI	مش متأكد اني حأقدر أديلك مساعده كويسة .	مش متأكد اني حاقدر ادي لك مساعدة كويسة.
802	corpus-6-dev	CAI	ممكن تطلب منه يبطل تدخين، الموجود هناك؟	ممكن تطلب منه يبطل تدخين، الموجود هناك؟
827	corpus-6-dev	CAI	عاوز اشارك في عمل خير .	عاوز اشارك في عمل خير.
841	corpus-6-dev	CAI	صحتي رجعتلي خالص .	صحتي رجعت لي خالص.
910	corpus-6-dev	CAI	ممكن تديني شويه ميه، من فضلك؟ انا عطشان جدا .	ممكن تديني شوية مية، من فضلك؟ انا عطشان جدا.
989	corpus-6-dev	CAI	حاخد وجبتين من المكرونه الشعرية موري سوبا .	حاخد وجبتين من المكرونة الشعرية موري سوبا.
996	corpus-6-dev	CAI	عورت نفسي بقزاز هنا .	عورت نفسي بقزاز هنا.
997	corpus-6-dev	CAI	مفروض اسال المدرب، بس ممكن تقولي اى اله كويسه لتمرين ضهري؟	مفروض اسأل المدرب، بس ممكن تقول لي اي آله كويسة لتمرين ضهري؟
1008	corpus-6-dev	CAI	مشغل المكالمات.	مشغل المكالمات.
1011	corpus-6-dev	CAI	متهيألي احنا في المحطة الغلط .	متهيأ لي احنا في المحطة الغلط.
1024	corpus-6-dev	CAI	فاكر رقم العربية؟	فاكر رقم العربية؟
1043	corpus-6-dev	CAI	بيرة، ستيك مع بطاطس، و سلطة الشيف المخصوصة .	بيرة، ستيك مع بطاطس، وسلطة الشيف المخصوصة.
1107	corpus-6-dev	CAI	حأتصل تاني .	حاتصل ثاني.
1147	corpus-6-dev	CAI	عندك فكرة المطعم ده محتاج حجز مسبق؟	عندك فكرة المطعم ده محتاج حجز مسبق؟
1151	corpus-6-dev	CAI	فيه صالون حلاقة في الفندق؟	فيه صالون حلاقة في الفندق؟
1157	corpus-6-dev	CAI	عندي سؤال ليك .	عندي سؤال ليك.
1161	corpus-6-dev	CAI	لو سمحت دفي الاوضه شويه .	لو سمحت دفي الاوضة شوية.
1173	corpus-6-dev	CAI	مش قادر أقولك .	مش قادر اقول لك.
1176	corpus-6-dev	CAI	فين رصيف خمسة؟	فين رصيف خمسة؟
1202	corpus-6-dev	CAI	عايز دليل بيتكلم ياباني .	عايز دليل بيتكلم ياباني.
1223	corpus-6-dev	CAI	خلصت عشاك؟	خلصت عشاك؟
1225	corpus-6-dev	CAI	جوده ده أحسن .	جودة ده احسن.
1230	corpus-6-dev	CAI	بأراهن بأتين جنية .	باراهن باثنين جنيه.
1231	corpus-6-dev	CAI	عندكم رحله فيها زيارة لكوبري الجولدن جيت؟	عندكم رحلة فيها زيارة لكوبري الجولدن جيت؟
1277	corpus-6-dev	CAI	ديه رحلة طوكية سبعميه و تلاته اربعة سبتمبر، الجمعة .	دية رحلة طوكية سبعمية وثلاثة اربعة سبتمبر، الجمعة.
1286	corpus-6-dev	CAI	بأدور على معجون .	بادور على معجون.
1297	corpus-6-dev	CAI	بكره كويس؟	بكرة كويس؟
1310	corpus-6-dev	CAI	في صحتك .	في صحتك.
1323	corpus-6-dev	CAI	عندك ويسكي بالانتين معتق عشر سنين؟	عندك ويسكي بالانتين معتق عشر سنين؟
1328	corpus-6-dev	CAI	ممكن نقدر، للأسف الموضوع ده حياخد كذا شهر .	ممكن نقدر، للاسف الموضوع ده حياخذ كذا شهر.
1339	corpus-6-dev	CAI	عايز حاجة من ستيايلات شانيل .	عايز حاجة من ستيايلات شانيل.
1345	corpus-6-dev	CAI	عايز أحجز لرحلة شلالات نياجرا .	عايز احجز لرحلة شلالات نياجرا.
1358	corpus-6-dev	CAI	اظن كده .	اظن كده.
1371	corpus-6-dev	CAI	ااه لأ . هو بيقولي حاجة . مفروض أعمل ايه؟	آه لأ. هو بيقول لي حاجة. مفروض اعمل ايه؟
1417	corpus-6-dev	CAI	اى اتوبيس بيروح جولد هال؟	اي اتوبيس بيروح جلد هول؟
1423	corpus-6-dev	CAI	في الرف التاني في الصف الوسطاني .	في الرف الثاني في الصف الوسطاني.
1443	corpus-6-dev	CAI	لازم ارجع اليابان علطول؟	لازم ارجع اليابان على طول؟
1447	corpus-6-dev	CAI	كان هناك مساكة مفتاح بشكل فطة مربوطة بشريط .	كان هناك مساكة مفتاح بشكل قطة مربوطة بشريط.
1457	corpus-6-dev	CAI	تمانتاشر دولار بالظبط .	ثمانتعشر دولار بالظبط.
1475	corpus-6-dev	CAI	ده بيت ممتاز .	ده بيت ممتاز.
1497	corpus-6-dev	CAI	كوكاكولا صغيرة، من فضلك .	كوكاكولا صغيرة، من فضلك.
1504	corpus-6-dev	CAI	حيتكلف اد ايه علشان أأمنه ب تلتميت دولار؟	حيتكلف قد ايه علشان اأمنه بثلثمية دولار؟
1538	corpus-6-dev	CAI	ممكن من فضلك تقولي ليه المبلغ ده؟	ممكن من فضلك تقول لي ليه المبلغ ده؟
1553	corpus-6-dev	CAI	ماتش ايه أتلعب في الاستاد؟	ماتش ايه اتلعب في الاستاد؟
1568	corpus-6-dev	CAI	سبعة الصبح، بالتوقيت المحلي.	سبعة الصبح، بالتوقيت المحلي.
1591	corpus-6-dev	CAI	طول الصندوق خمسة و ستين سنتي، عرضه تلاتين سنتي، و ارتفاعة تمانين سنتي .	طول الصندوق خمسة وستين سنتي، عرضه ثلاثين سنتي، وارتفاعه ثمانين سنتي.
1597	corpus-6-dev	CAI	الساعة دلوقتي عشرة . أتفضل مفتاح أوضتك، رقمها خمسة و اربعين الدور التالت و التلاتين . الشيال حيطلعلك شنطك .	الساعة دلوقتي عشرة. اتفضل مفتاح اوضتك، رقمها خمسة واربعين الدور الثالث والثلاثين. الشيال حيطلع لك شنطك.
1602	corpus-6-dev	CAI	ممكن تقصقصلي الخصل نص إينش فوق الحواجب؟	ممكن تقصقص لي الخصل نص اينش فوق الحواجب؟
1611	corpus-6-dev	CAI	أحود شمال عند النور .	احود شمال عند النور.
1626	corpus-6-dev	CAI	لو سمحت أقلع هدومك و البس الروب ده .	لو سمحت اقلع هدومك والبس الروب ده.
1643	corpus-6-dev	CAI	عندك سيلوتيب؟	عندك سيلوتيب؟
1652	corpus-6-dev	CAI	فين أقرب محل جزم ؟	فين اقرب محل جزم؟
1656	corpus-6-dev	CAI	عندك عيون بتشوف الجمال .	عندك عيون بتشوف الجمال.
1697	corpus-6-dev	CAI	بتاخد أدوية تانية؟	بتاخذ ادوية ثانية؟
1708	corpus-6-dev	CAI	العفو، بأفضل الكرسي اللي جنب الممر .	العفو، بافضل الكرسي اللي جنب الممر.
1710	corpus-6-dev	CAI	معاك شنطة تروح بيها؟	معاك شنطة تروح بيها؟
1721	corpus-6-dev	CAI	ده ضيق جدا هنا .	ده ضيق جدا هنا.
1723	corpus-6-dev	CAI	ازيك، ديه أوضة اتناشر الدور اربعة و تلاتين . أسمي أودا . طالبة حد يصحيني بكرة الصبح بتليفون الساعة سته، من فضلك.	ازيك، دية اوضة اثنعشر الدور اربعة وثلاثين. اسمي اودا. طالبة حد يصحيني بكرة الصبح بتلفون الساعة ستة، من فضلك.
1740	corpus-6-dev	CAI	انت عضو في النادي المنتشر بتاعنا اجر-عربية؟	انت عضو في النادي المنتشر بتاعنا اجر-عربية؟
1814	corpus-6-dev	CAI	مش قدار أجممع اللي انت بتقوله .	مش قادر اجمع اللي انت بتقوله.
1844	corpus-6-dev	CAI	عندك صداع؟	عندك صداع؟
1850	corpus-6-dev	CAI	ممكن فضلك أركب معاك عند أقرب محطة؟	ممكن من فضلك اركب معاك عند اقرب محطة؟
1851	corpus-6-dev	CAI	ايوه، عندي .	ايوه، عندي.
1857	corpus-6-dev	CAI	ممكن تديني شويه جرايد و مجلات؟	ممكن تديني شوية جرايد ومجلات؟
1879	corpus-6-dev	CAI	عايز كتاب نحو .	عايز كتاب نحو.
1884	corpus-6-dev	CAI	فيه ملعب تنس قريب من هنا؟	فيه ملعب تنس قريب من هنا؟
1889	corpus-6-dev	CAI	أمتى بيحتفلو في اليابان بتفتح زهور الكرز؟	امتى بيحتفلوا في اليابان بتفتح زهور الكرز؟
1896	corpus-6-dev	CAI	ايوه، عملناها . حأكون معاك حالا .	ايوه، عملناها. حاكون معاك حالا.
1914	corpus-6-dev	CAI	عايز اضافات ايه؟	عايز اضافات ايه؟
1933	corpus-6-dev	CAI	نوع البرانيط ده شكله عالموضة . متهيألي أني حأشتري واحدة، كمان .	نوع البرانيط ده شكله عالموضة. متهيأ لي اني حاشتري واحدة، كمان.
2002	corpus-6-dev	CAI	تحب تدفع أزاي؟	تحب تدفع ازاي؟
2019	corpus-6-dev	CAI	مفتوح دلوقتي؟	مفتوح دلوقتي؟
2026	corpus-6-dev	CAI	ايه العروض الرئيسية في المتحف ده؟	ايه العروض الرئيسية في المتحف ده؟
2061	corpus-6-dev	CAI	طيارتنا حتقلع علطول .	طيارتنا حتقلع على طول.
2076	corpus-6-dev	CAI	واو . اد ايه خدمة كبيرة .	واو. قد ايه خدمة كبيرة.
2079	corpus-6-dev	CAI	القطر اللي رايح ميلان حيطلع منين؟	القطر اللي رايح ميلان حيطلع منين؟
2095	corpus-6-dev	CAI	إذا سمحت قوللي أعمل مكالمة دوليه أزاي.	اذا سمحت قول لي اعمل مكالمة دولية ازاي.
2097	corpus-6-dev	CAI	ممكن أشيل الشنط دي معايا؟	ممكن اشيل الشنط دي معاي؟
2108	corpus-6-dev	CAI	ميزانيتي خمسين دولار .	ميزانيتي خمسين دولار.
2109	corpus-6-dev	CAI	خدها برة .	خذها برا.
2150	corpus-6-dev	CAI	السنه ديه اتكسرت .	السنة دية اتكسرت.
2162	corpus-6-dev	CAI	انا، كمان . منهيألي انك تقدر تساعدني افهم القائمة ديه .	انا، كمان. متهيأ لي انك تقدر تساعدني افهم القائمة دية.
2194	corpus-6-dev	CAI	ممكن الفها؟	ممكن الفها؟
2213	corpus-6-dev	CAI	المرواح للمكتب و الرجعة بياخدو حوالي تلات ساعات .	المرواح للمكتب والرجعة بياخذوا حوالي ثلاث ساعات.
2219	corpus-6-dev	CAI	عندي تذكرة لديترويت ميعادها الساعة حداشر الصبح .	عندي تذكرة لديترويت ميعادها الساعة حدعشر الصبح.
2239	corpus-6-dev	CAI	حفلة لأربعة، بليل الساعة سبعة و نص . تحب تتحجز بأى أسم؟	حفلة لاربعة، بالليل الساعة سبعة ونص. تحب تتحجز باي اسم؟
2240	corpus-6-dev	CAI	عايز أغير طلبي .	عايز اغير طلبي.
2255	corpus-6-dev	CAI	خمسة و عشرين دولار شاملة اجرة الاوتوبيس، المرشد و رسوم الدخول .	خمسة وعشرين دولار شاملة اجرة الاوتوبيس، المرشد ورسوم الدخول.
2258	corpus-6-dev	CAI	فكرك ايه اللي حصله؟	فكرك ايه اللي حصل له؟
2279	corpus-6-dev	CAI	ايوه . بأدور على فستان .	ايوه. بادور على فستان.
2312	corpus-6-dev	CAI	شكرا جزيلا ليك علشان سقت بيا لهنا بعد ساعات . انا فعلا ممنون لمساعدتك .	شكرا جزيلا ليك علشان سقت بي لهنا بعد ساعات. انا فعلا ممنون لمساعدتك.
2349	corpus-6-dev	CAI	مفروض ان الجو حيدفى يليل .	مفروض ان الجو حيدفى بالليل.
2371	corpus-6-dev	CAI	فين الترب؟	فين الترب؟
2388	corpus-6-dev	CAI	ديه ملفوفه .	دية ملفوفة.
2409	corpus-6-dev	CAI	بالبريد البحري؟	بالبريد البحري؟
2411	corpus-6-dev	CAI	حيكون مشكلة لو ما رجعتش للفندق بالتاكسي .	حيكون مشكلة لو ما رجعتش للفندق بالتاكسي.
2453	corpus-6-dev	CAI	حنوصل في الميعاد؟	حنوصل في الميعاد؟
2461	corpus-6-dev	CAI	عايز أغير شويه عملة .	عايز اغير شوية عملة.
2464	corpus-6-dev	CAI	ممكن تتكلم واحده واحده؟	ممكن تتكلم واحدة واحدة؟
2482	corpus-6-dev	CAI	عايزه كوفية حرير .	عايزة كوفية حرير.
2486	corpus-6-dev	CAI	انا حأمشي بكرة سبعة الصبح، عشان كده انا عايز فاتورتي دلوقتي .	انا حامشي بكرة سبعة الصبح، عشان كده انا عايز فاتورتي دلوقتي.
2497	corpus-6-dev	CAI	فيه اربع فصول مختلفة .	فيه اربع فصول مختلفة.
2525	corpus-6-dev	CAI	حتاخد حوالي تسعة و تسعين يوم علشان نطلع كارد جديد، من فضلك اكتب اسم الفندق اللي انت فين و رقم التليفون في الورقة ديه، علشان نقدر نوصلك .	حتاخذ حوالي تسعة وتسعين يوم علشان نطلع كارد جديد، من فضلك اكتب اسم الفندق اللي انت فين ورقم التلفون في الورقة دية، علشان نقدر نوصل لك.
2527	corpus-6-dev	CAI	حتروح المدرسة؟	حتروح المدرسة؟
2535	corpus-6-dev	CAI	عايز خيمة .	عايز خيمة.
2565	corpus-6-dev	CAI	دلوقتي واحده وأربع دقايق الضهر .	دلوقتي واحدة واربع دقايق الضهر.
2571	corpus-6-dev	CAI	للمشتريات اللي اكتر من تسعه و تسعين دولار . تقدر تاخد اعفا من الرسوم الجمركية .	للمشتريات اللي اكثر من تسعة وتسعين دولار. تقدر تاخذ اعفا من الرسوم الجمركية.
2580	corpus-6-dev	CAI	فهمت . يبقى تذكرتين ذهاب و عودة لسان دييجو، من فضلك .	فهمت. يبقى تذكرتين ذهاب وعودة لسان دييجو، من فضلك.
2607	corpus-6-dev	CAI	دول ممتازين للشاطئ .	دول ممتازين للشاطئ.
2625	corpus-6-dev	CAI	بسبب العاصفة الثلجية، رحلة الخطوط الجوية الكندية اتناشر اتلغت .	بسبب العاصفة الثلجية، رحلة الخطوط الجوية الكندية اثنعشر اتلغت.
2663	corpus-6-dev	CAI	هو انا حأكون قادر الاقي كل حاجة في اللسته ديه في السوبرماركت و لا انا كمان محتاج اروح الاجزخانة؟	هو انا حاكون قادر الاقي كل حاجة في اللستة دية في السوبر ماركت ولا انا كمان محتاج اروح الاجزخانة؟
2680	corpus-6-dev	CAI	هو المعرض فين؟	هو المعرض فين؟
2700	corpus-6-dev	CAI	تاخد وقت اد ايه بالبريد البحري؟	تاخذ وقت قد ايه بالبريد البحري؟
2710	corpus-6-dev	CAI	محتاج أغير رحلة الطيران .	محتاج اغير رحلة الطيران.
2720	corpus-6-dev	CAI	محتاج درس تزحلق عالجليد .	محتاج درس تزحلق عالجليد.
2722	corpus-6-dev	CAI	لشخص واحد؟	لشخص واحد؟
2743	corpus-6-dev	CAI	ممكن نلعب بالجزم ديه؟	ممكن نلعب بالجزم دية؟
2782	corpus-6-dev	CAI	أخد شنطتي .	اخد شنطتي.
2787	corpus-6-dev	CAI	هو متوقع مني اني البس ايه؟	هو متوقع مني اني البس ايه؟
2857	corpus-6-dev	CAI	مؤكد . و اذا سمحت بلغ انسه كوك تحياتي لأنها قامت بمبادرات كويسة اثناء اجتماعنا .	مؤكد. واذا سمحت بلغ آنسة كوك تحياتي لانها قامت بمبادرات كويسة اثناء اجتماعنا.
2859	corpus-6-dev	CAI	عندكم اماكن اقامة متاحة بالسعر ده؟	عندكم اماكن اقامة متاحة بالسعر ده؟
2884	corpus-6-dev	CAI	من الشمال، الارقام ديه معناها وقت التصنيع الضروري، توقعات التكلفة، و المخاطرة الاقتصادية .	من الشمال، الارقام دية معناها وقت التصنيع الضروري، توقعات التكلفة، والمخاطرة الاقتصادية.
2903	corpus-6-dev	CAI	اللي عندنا دلوقتي مقاس تمانية .	اللي عندنا دلوقتي مقاس ثمانية.
2906	corpus-6-dev	CAI	انا بس معدي .	انا بس معدي.
2910	corpus-6-dev	CAI	عايز واحد متين .	عايز واحد متين.
2948	corpus-6-dev	CAI	ممكن تساعدني أجيب تذاكر؟	ممكن تساعدني اجيب تذاكر؟
2965	corpus-6-dev	CAI	القهوة ديه مركزة قوي .	القهوة دية مركزة قوي.
2974	corpus-6-dev	CAI	ممكن تديني مسكن ألم؟	ممكن تديني مسكن الم؟
2978	corpus-6-dev	CAI	بصيت عالمشبوة بصه كويسة؟	بصيت عالمشبوه بصة كويسة؟
3005	corpus-6-dev	CAI	عايز ملابس داخلية .	عايز ملابس داخلية.
3007	corpus-6-dev	CAI	الطبق الرئيسي مزيج من اللحم المشوي و الكابوريا .	الطبق الرئيسي مزيج من اللحم المشوي والكابوريا.
3009	corpus-6-dev	CAI	اى محطة حيطلع منها القطر اللي رايح لبوستون؟	اي محطة حيطلع منها القطر اللي رايح لبوستون؟
3018	corpus-6-dev	CAI	حناكلها سوا، إذا سمحت ممكن شوكة كمان؟	حناكلها سوا، اذا سمحت ممكن شوكة كمان؟
3022	corpus-6-dev	CAI	عند فندق هاليكولاني .	عند فندق هاليكولاني.
3065	corpus-6-dev	CAI	ادفع كام علشان أاجر موبايل و بيچر؟	ادفع كام علشان اأجر موبايل وبيجر؟
3068	corpus-6-dev	CAI	بتاخد طلبات العشا دلوقتي؟	بتاخذ طلبات العشا دلوقتي؟
3074	corpus-6-dev	CAI	ترابيزة جنب الشباك، لو تكرمت .	تربيزة جنب الشباك، لو تكرمت.
3075	corpus-6-dev	CAI	ممكن توريني الواحده اللي عند الشباك؟	ممكن توريني الواحدة اللي عند الشباك؟
3086	corpus-6-dev	CAI	معاكش عملات أقل من ديه؟	معاكش عملات اقل من دية؟
3092	corpus-6-dev	CAI	ممكن طفاية سجاير، من فضلك؟	ممكن طفاية سجاير، من فضلك؟
3174	corpus-6-dev	CAI	عايز مسكن الم .	عايز مسكن الم.
3212	corpus-6-dev	CAI	ممكن تكلم شركة التأمين؟	ممكن تكلم شركة التأمين؟
3231	corpus-6-dev	CAI	تذكرة طلبة، لو سمحت .	تذكرة طلبة، لو سمحت.
3233	corpus-6-dev	CAI	لو سمحت ابعتلي جواب اول ما توصل .	لو سمحت ابعتلي جواب اول ما توصل.
3239	corpus-6-dev	CAI	اسف . حأدفع تمن كل حاجة . بس ما تبلغش البوليس . ابويا لو عرف حيموتني .	آسف. حادفع ثمن كل حاجة. بس ما تبلغش البوليس. ابويا لو عرف حيموتني.
3266	corpus-6-dev	CAI	شهل .	شهل.
3272	corpus-6-dev	CAI	أعذرني، بس ممكن ترشدني أروح أزاي المحطة؟	اعذرني، بس ممكن ترشدني اروح ازاي المحطة؟
3278	corpus-6-dev	CAI	عايز اشوف الجبال .	عايز اشوف الجبال.
3290	corpus-6-dev	CAI	غيرلي الفلوس ديه لبيزيتا، إذا سمحت .	غير لي الفلوس دية لبيزيتا، اذا سمحت.
3310	corpus-6-dev	CAI	لأ، لكن معانا طبيب يقدر يفهم ياباني كويس اوي، علشان كده مافي مشكلة خالص .	لأ، لكن معانا طبيب يقدر يفهم ياباني كويس قوي، علشان كده مافيش مشكلة خالص.
3330	corpus-6-dev	CAI	وريني الجدول الزمني، إذا سمحت .	وريني الجدول الزمني، اذا سمحت.
3353	corpus-6-dev	CAI	تعرف اى دكتور بيتكلم ياباني؟	تعرف اي دكتور بيتكلم ياباني؟
3360	corpus-6-dev	CAI	مش قادر أصدق أني مضطر ارجع اليابان . كان عاوز اقعد مده أطول .	مش قادر اصدق اني مضطر ارجع اليابان. كان عاوز اقعد مدة اطول.
3366	corpus-6-dev	CAI	مشهور بشاطئ المحيط الجميل .	مشهور بشاطئ المحيط الجميل.
3418	corpus-6-dev	CAI	مستعد تنزلي السعر لسبعة دولار؟	مستعد تنزل لي السعر لسبعة دولار؟
3431	corpus-6-dev	CAI	شفت المباراة؟ اليانكيز كسبو .	شفت المباراة؟ اليانكيز كسبوا.
3445	corpus-6-dev	CAI	لأ شكرا . انا أقدر الاقيه بنفسي .	لأ شكرا. انا اقدر الاقيه بنفسي.
3462	corpus-6-dev	CAI	ممكن تقولي برنامج التليفزيون النهاردة؟	ممكن تقول لي برنامج التلفزيون النهار ده؟
3473	corpus-6-dev	CAI	الفيلم على أى قناة؟	الفيلم على اي قناة؟
3483	corpus-6-dev	CAI	ايه الكوكتيل المميز بتاعك؟	ايه الكوكتيل المميز بتاعك؟
3551	corpus-6-dev	CAI	ديه كانت مشهورة من الاربعينات لحد الف تسمعميه و ستين .	دية كانت مشهورة من الاربعينات لحد الف تسعمية وستين.
3693	corpus-6-dev	CAI	معاك تصريح؟	معاك تصريح؟
3703	corpus-6-dev	CAI	ممكن اسأل عن وقت المغادرة من هنا؟	ممكن اسأل عن وقت المغادرة من هنا؟
3710	corpus-6-dev	CAI	فهمت . خليني أراجع دفتري . عندي أفتتاح الجمعة ديه . تفضل الصبح ولا بليل؟	فهمت. خليني اراجع دفتري. عندي افتتاح الجمعة دية. تفضل الصبح ولا بالليل؟
3716	corpus-6-dev	CAI	باتأسف . ماعيش اللي يكفي دلوقتي .	باتأسف. معيش اللي يكفي دلوقتي.
3718	corpus-6-dev	CAI	تمام . خلينا نعمله. انت جاهز؟	تمام. خلينا نعمله. انت جاهز؟
3719	corpus-6-dev	CAI	الحجر ده كوارتز؟	الحجر ده كوارتز؟
3722	corpus-6-dev	CAI	اه، محتاج معجون سنان كمان .	آه، محتاج معجون سنان كمان.
3730	corpus-6-dev	CAI	رقم التليفون واحد اتنين تلاته اربعة خمسة سته .	رقم التلفون واحد اثنين ثلاثة اربعة خمسة ستة.
3732	corpus-6-dev	CAI	تحب سمك ولا لحمة؟	تحب سمك ولا لحمة؟
3736	corpus-6-dev	CAI	ممكن تبض على لوحة اختبار العين، إذا سمحت؟	ممكن تبص على لوحة اختبار العين، اذا سمحت؟
3760	corpus-6-dev	CAI	معايا قزازة ميه معدنيه من التلاجة .	معاي قزازة مية معدنية من الثلاجة.
3821	corpus-6-dev	CAI	مش عايز ده .	مش عايز ده.
3824	corpus-6-dev	CAI	شايف . شكله حلو . بس مش غالي شويه.	شايف. شكله حلو. بس مش غالي شوية.
3830	corpus-6-dev	CAI	كم تكلفة الليله؟	كم تكلفة الليلة؟
3855	corpus-6-dev	CAI	ده هش ولا ممكن يتكسر؟	ده هش ولا ممكن يتكسر؟
3874	corpus-6-dev	CAI	"""جوكوروساما"" يعني اشكرك جدا على تعبك الكتير في شرحك كل حاجه ليا ."	"""جوكوروساما"" يعني اشكرك جدا على تعبك الكثير في شرحك كل حاجة لي."
3875	corpus-6-dev	CAI	مادخلتش الحمام بقالي تلات تيام .	ما دخلتش الحمام بقى لي ثلاث ايام.
3902	corpus-6-dev	CAI	ده بيعتمد على ان كان معاك او معاكش حاجة مقروض تبلغ عنها .	ده بيعتمد على ان كان معاك او معاكش حاجة مفروض تبلغ عنها.
3907	corpus-6-dev	CAI	مانشستر من فضلك .	مانشستر من فضلك.
3992	corpus-6-dev	CAI	ده ايصال المبلغ المدفوع .	ده ايصال المبلغ المدفوع.
4009	corpus-6-dev	CAI	وريني لو سمحت .	وريني لو سمحت.
4015	corpus-6-dev	CAI	ليه المنتج ايه حافظ على حصته الكبيرة في السوق في أخر خمس سنين؟	ليه المنتج اي حافظ على حصته الكبيرة في السوق في آخر خمس سنين؟
4029	corpus-6-dev	CAI	امتى اخر قطر حيطلع؟	امتى آخر قطر حيطلع؟
4054	corpus-6-dev	CAI	ايه كان اللي حتختارة فهو كويس .	ايه كان اللي حتختاره فهو كويس.
4083	corpus-6-dev	CAI	ممكن اطلب منك تكلمني بعد شوية؟	ممكن اطلب منك تكلمني بعد شوية؟
4105	corpus-6-dev	CAI	ممكن اقيس المقاس الاكبر سنه؟	ممكن اقيس المقاس الاكبر منه؟
4123	corpus-6-dev	CAI	ممكن دوا للمعدة؟	ممكن دوا للمعدة؟
4136	corpus-6-dev	CAI	ممكن شنطة للمشتريات؟	ممكن شنطة للمشتريات؟
4153	corpus-6-dev	CAI	عايز ابعت برقية .	عايز ابعث برقية.
4154	corpus-6-dev	CAI	ده لأن القرارات بتتاخد بشكل جماعي .	ده لان القرارات بتتاخذ بشكل جماعي.
4161	corpus-6-dev	CAI	لو اشتريت اتنين، حيكون تمنهم كام؟	لو اشتريت اثنين، حيكون ثمنهم كام؟
4178	corpus-6-dev	CAI	عايز شويه شاي؟	عايز شوية شاي؟
4196	corpus-6-dev	CAI	ده حقيقي؟	ده حقيقي؟
4236	corpus-6-dev	CAI	ممكن تخلي شويه أدويه مسكنه للألم في الاوتيل؟	ممكن تخلي شوية ادوية مسكنة للالم في الاوتيل؟
4257	corpus-6-dev	CAI	اسف، ما اقدرش . انا بأقف بس عند الفنادق اللي في اللسته ديه .	آسف، ما اقدرش. انا باوقف بس عند الفنادق اللي في اللستة دية.
4268	corpus-6-dev	CAI	رقم البوابه كام؟	رقم البوابة كام؟
4327	corpus-6-dev	CAI	اطلع من المخرج ده و احود يمين، من فضلك .	اطلع من المخرج ده واحود يمين، من فضلك.
